2026-05-15 14:54:24.134  1190-28647 qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:24.234  1190-28647 qdgralloc               media.codec                          D  Imported handle: 0xf3b83510 id: 1127
2026-05-15 14:54:24.234  1190-28647 qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:24.335  1190-28647 qdgralloc               media.codec                          D  Imported handle: 0xf3b81c90 id: 1127
2026-05-15 14:54:24.335  1190-28647 qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:24.436  1190-28647 qdgralloc               media.codec                          D  Imported handle: 0xf3b83790 id: 1127
2026-05-15 14:54:24.436  1190-28647 qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:24.691   765-28627 audio_hw_primary        android.hardware.audio.service       D  out_standby: enter: stream (0xecb00010) usecase(1: low-latency-playback)
2026-05-15 14:54:24.786   765-28627 audio_hw_primary        android.hardware.audio.service       D  disable_audio_route: reset and update mixer path: low-latency-playback
2026-05-15 14:54:24.788   765-28627 soundtrigger            android.hardware.audio.service       D  audio_extn_sound_trigger_update_stream_status: uc_info->id 1 of type 0 for Event 2, with Raise=0
2026-05-15 14:54:24.788   765-28627 hardware_info           android.hardware.audio.service       D  hw_info_append_hw_type : device_name = speaker
2026-05-15 14:54:24.788   765-28627 audio_hw_primary        android.hardware.audio.service       D  disable_snd_device: snd_device(2: speaker)
2026-05-15 14:54:24.789   765-28627 soundtrigger            android.hardware.audio.service       I  audio_extn_sound_trigger_update_device_status: device 0x2 of type 0 for Event 0, with Raise=0
2026-05-15 14:54:24.792   704-716   statsd                  statsd                               D  StateTracker did not find state value for query key (27)0x10000->1041[I] 
2026-05-15 14:54:24.793   704-716   statsd                  statsd                               W  StateTracker not found for state atom 27
2026-05-15 14:54:25.130  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b81e90 id: 1126
2026-05-15 14:54:25.131  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.147  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b83210 id: 1127
2026-05-15 14:54:25.148  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.164  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b80a10 id: 1126
2026-05-15 14:54:25.164  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.178  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b83290 id: 1127
2026-05-15 14:54:25.179  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.195  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b82c90 id: 1126
2026-05-15 14:54:25.195  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.211  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b82e10 id: 1127
2026-05-15 14:54:25.211  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.227  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b81f10 id: 1126
2026-05-15 14:54:25.227  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.245  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b84e90 id: 1127
2026-05-15 14:54:25.245  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.262  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b81610 id: 1126
2026-05-15 14:54:25.262  1190-1328  qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.363  1190-28647 qdgralloc               media.codec                          D  Imported handle: 0xf3b82290 id: 1126
2026-05-15 14:54:25.363  1190-28647 qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.464  1190-28647 qdgralloc               media.codec                          D  Imported handle: 0xf3b83510 id: 1126
2026-05-15 14:54:25.464  1190-28647 qdgralloc               media.codec                          D  GetTransportSize: num fds: 2 num ints: 23 err:0
2026-05-15 14:54:25.487  2530-5920  DWHelperService         com.zebra.zvahelper                  D  #ZVAH# doBindToDataWedge()
2026-05-15 14:54:25.487  2530-5920  DWHelperService         com.zebra.zvahelper                  D  Using app context
2026-05-15 14:54:25.492  2530-5920  DWHelperService         com.zebra.zvahelper                  D  #ZVAH# binding to DW
2026-05-15 14:54:25.494  1523-6946  ActivityManager         system_server                        W  Unable to start service Intent { cmp=com.symbol.datawedge/.ScanningService } U=0: not found
2026-05-15 14:54:25.545  1190-1328  qdgralloc               media.codec                          D  Imported handle: 0xf3b81c90 id: 1127
